epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,871.243,0.55617,1.31187,0.96427,0.72936,0.91176,0.789,0.6731,0.50053,1.90935,0.82761,0.000662474,0.000662474,0.000662474
2,1689.4,0.56842,0.75593,0.95003,0.81945,0.98039,0.98129,0.91343,0.36951,1.91888,0.73968,0.00129624,0.00129624,0.00129624
3,2469.54,0.57124,0.63817,0.95229,0.61007,0.96078,0.72628,0.56689,0.93261,2.56151,1.82377,0.00189701,0.00189701,0.00189701
4,3279.4,0.54713,0.55661,0.94301,0.89935,1,0.91345,0.82655,0.55485,1.27289,1.13122,0.0018515,0.0018515,0.0018515
5,4128.17,0.50539,0.49598,0.92841,0.97292,0.9902,0.99451,0.94992,0.28791,0.33849,0.68435,0.001802,0.001802,0.001802
6,4919.32,0.47758,0.45578,0.91804,0.95995,1,0.99412,0.88381,0.56594,0.6277,1.16044,0.0017525,0.0017525,0.0017525
7,5679.77,0.47103,0.43311,0.91819,0.98883,0.9902,0.995,0.97241,0.26976,0.29887,0.66163,0.001703,0.001703,0.001703
8,6440.77,0.43832,0.40323,0.90582,0.86634,0.95321,0.93082,0.70399,0.70683,1.19891,1.00606,0.0016535,0.0016535,0.0016535
9,7205.1,0.43446,0.40075,0.90325,0.8896,0.96078,0.93033,0.90757,0.23724,0.73803,0.65509,0.001604,0.001604,0.001604
10,7978.9,0.42875,0.38286,0.90215,0.99506,1,0.995,0.96664,0.28407,0.30684,0.67373,0.0015545,0.0015545,0.0015545
11,8752.11,0.41575,0.36821,0.8939,0.95857,1,0.97348,0.9624,0.23519,0.2765,0.66419,0.001505,0.001505,0.001505
12,9524.18,0.41261,0.35772,0.89686,0.9883,1,0.995,0.96185,0.23865,0.24289,0.66328,0.0014555,0.0014555,0.0014555
13,10292.3,0.41461,0.36475,0.90001,0.97662,1,0.995,0.97519,0.2315,0.23425,0.6581,0.001406,0.001406,0.001406
14,11065.2,0.39386,0.35167,0.8915,0.99873,1,0.995,0.94957,0.25565,0.281,0.6786,0.0013565,0.0013565,0.0013565
15,11837.7,0.38177,0.32903,0.88544,0.97324,1,0.98591,0.87319,0.67274,0.51207,1.60271,0.001307,0.001307,0.001307
16,12612.1,0.38067,0.33647,0.88936,0.98954,1,0.995,0.98464,0.21466,0.21066,0.65395,0.0012575,0.0012575,0.0012575
17,13385.5,0.37746,0.32232,0.88756,0.9978,1,0.995,0.98916,0.22247,0.21674,0.69651,0.001208,0.001208,0.001208
18,14215.3,0.36201,0.30792,0.88217,1,0.93887,0.99181,0.98051,0.18941,0.22535,0.65274,0.0011585,0.0011585,0.0011585
19,14992.2,0.35866,0.30488,0.87931,0.99737,1,0.995,0.98766,0.1773,0.16548,0.64851,0.001109,0.001109,0.001109
20,15763.6,0.34998,0.3009,0.87386,0.99881,1,0.995,0.99174,0.18363,0.16822,0.64549,0.0010595,0.0010595,0.0010595
21,16526.4,0.34688,0.29157,0.87764,0.9762,0.94118,0.96163,0.93513,0.20971,0.31324,0.66206,0.00101,0.00101,0.00101
22,17290.3,0.32708,0.27562,0.87254,0.96837,0.9902,0.99481,0.97661,0.22148,0.4057,0.67733,0.0009605,0.0009605,0.0009605
23,18054.1,0.32751,0.27703,0.87252,0.96709,1,0.995,0.99111,0.18233,0.19254,0.64647,0.000911,0.000911,0.000911
24,18831.3,0.32759,0.27462,0.87312,0.99826,1,0.995,0.99083,0.17013,0.13992,0.64021,0.0008615,0.0008615,0.0008615
25,19610.6,0.32278,0.27169,0.87114,0.99847,1,0.995,0.99124,0.17381,0.14847,0.64536,0.000812,0.000812,0.000812
26,20386.9,0.31722,0.26312,0.87063,0.99177,1,0.995,0.98988,0.16881,0.16239,0.64315,0.0007625,0.0007625,0.0007625
27,21161.9,0.31158,0.2603,0.86598,0.98836,1,0.9949,0.99027,0.15982,0.19197,0.64143,0.000713,0.000713,0.000713
28,21938.7,0.30945,0.26002,0.86759,0.99541,1,0.995,0.95258,0.27885,0.42161,0.73383,0.0006635,0.0006635,0.0006635
29,48681.3,0.29986,0.24718,0.86276,0.99949,1,0.995,0.99071,0.15453,0.13912,0.63988,0.000614,0.000614,0.000614
30,49480.6,0.3012,0.24154,0.8653,0.99675,1,0.995,0.99259,0.15807,0.15621,0.64392,0.0005645,0.0005645,0.0005645
31,50247.7,0.24128,0.19797,0.83609,0.99674,1,0.995,0.97913,0.19421,0.18481,0.65281,0.000515,0.000515,0.000515
32,51046.8,0.23672,0.19164,0.8272,0.99073,1,0.995,0.98822,0.15841,0.18999,0.64753,0.0004655,0.0004655,0.0004655
33,51815.6,0.2284,0.18331,0.83566,0.99944,1,0.995,0.99263,0.13062,0.10353,0.63144,0.000416,0.000416,0.000416
34,59766,0.22291,0.1774,0.82736,0.99822,1,0.995,0.97972,0.1764,0.15957,0.65626,0.0003665,0.0003665,0.0003665
35,60550.3,0.21604,0.17267,0.82519,0.99574,1,0.995,0.97919,0.17706,0.17531,0.65797,0.000317,0.000317,0.000317
36,61319.1,0.21444,0.17113,0.82577,0.98968,1,0.995,0.99079,0.16299,0.12604,0.63942,0.0002675,0.0002675,0.0002675
37,62087.7,0.20003,0.16163,0.82474,0.99659,1,0.995,0.99337,0.1344,0.10787,0.63439,0.000218,0.000218,0.000218
38,62856.3,0.19798,0.15625,0.82096,0.9894,1,0.995,0.97642,0.19396,0.27182,0.68739,0.0001685,0.0001685,0.0001685
39,66956.4,0.18782,0.14839,0.81791,0.99043,1,0.995,0.99386,0.13816,0.15258,0.63816,0.000119,0.000119,0.000119
40,67741.3,0.18501,0.14534,0.81794,0.99518,1,0.995,0.99371,0.13242,0.14278,0.63987,6.95e-05,6.95e-05,6.95e-05
